id,ownership_condition,buyer_condition,control_condition,scenario_topic
10,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
11,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
12,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
13,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
14,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
15,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
16,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
17,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
18,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
19,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
20,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
21,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
22,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
23,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
24,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
25,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
26,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
27,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
28,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
29,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
30,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
31,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
32,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
33,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
34,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a a mountain lodge with panoramic views, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
35,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
36,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
37,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
38,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
39,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $4,000 business-class flight flights, a an overwater bungalow with glass floors, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
40,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
41,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
42,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
43,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
44,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $15,000 private jet flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
